season,episode,title,air_date,writers,directors,rating,total_votes
6,3,After Life,2001-10-09,"[Joss Whedon, Jane Espenson, Rebecca Kirshner]",[David Solomon],7.8,2319
6,4,Flooded,2001-10-16,"[Joss Whedon, Douglas Petrie, Jane Espenson]",[Douglas Petrie],7.2,2209
6,5,Life Serial,2001-10-23,"[Joss Whedon, David Fury, Jane Espenson]",[Nick Marck],7.8,2355
6,6,All the Way,2001-10-30,"[Joss Whedon, Steven S. DeKnight, Rebecca Kirshner]",[David Solomon],7.1,2315
6,7,"Once More, with Feeling",2001-11-05,"[Joss Whedon, Rebecca Kirshner, Steven S. DeKnight]",[Joss Whedon],9.7,10002
6,8,Tabula Rasa,2001-11-13,"[Joss Whedon, Rebecca Kirshner, Steven S. DeKnight]",[David Grossman],9.1,3702
6,9,Smashed,2001-11-20,"[Joss Whedon, Drew Z. Greenberg, Rebecca Kirshner]",[Turi Meyer],7.9,2554
6,10,Wrecked,2001-11-27,"[Joss Whedon, Marti Noxon, Rebecca Kirshner]",[David Solomon],7.6,2408
6,11,Gone,2002-01-08,"[Joss Whedon, David Fury, Rebecca Kirshner]",[David Fury],7.7,2277
6,12,Doublemeat Palace,2002-01-29,"[Joss Whedon, Jane Espenson, Rebecca Kirshner]",[Nick Marck],6.7,2534
6,13,Dead Things,2002-02-05,"[Joss Whedon, Steven S. DeKnight, Rebecca Kirshner]",[James A. Contner],7.5,2274
6,14,Older and Far Away,2002-02-12,"[Joss Whedon, Drew Z. Greenberg, Rebecca Kirshner]",[Michael Gershman],7.6,2217
6,15,As You Were,2002-02-26,"[Joss Whedon, Douglas Petrie, Rebecca Kirshner]",[Douglas Petrie],6.7,2428
6,16,Hell's Bells,2002-03-05,"[Joss Whedon, Rebecca Kirshner, Steven S. DeKnight]",[David Solomon],7.5,2523
6,17,Normal Again,2002-03-12,"[Joss Whedon, Diego Gutierrez, Rebecca Kirshner]",[Rick Rosenthal],8.4,3064
6,18,Entropy,2002-04-30,"[Joss Whedon, Drew Z. Greenberg, Rebecca Kirshner]",[James A. Contner],7.8,2233
